iso,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ISR,93396,94255,95273,96415,97706,99215,101031,103196,105706,108519,111535,114627,117674,120590,123343,125940,128437,130939,133530,136249,139159,142318,145692,149206,152772,156252,159496,162382,164822,166769,168201,169139,169702
ITA,587153,578626,572040,566828,562540,558599,554494,550104,545466,540675,536139,532457,530195,529705,531033,534243,539267,545514,552236,558752,564225,567874,569271,568130,564264,557544,548051,536428,523421,509624,495649,482018,469085
JAM,63912,63522,63022,62498,61987,61532,61159,60851,60583,60331,60041,59647,59106,58403,57552,56596,55605,54654,53800,53067,52450,51920,51426,50929,50424,49919,49441,49013,48648,48340,48071,47817,47549
JPN,1444948,1410578,1377183,1345358,1315507,1288452,1265103,1245787,1230417,1218587,1209365,1201516,1193837,1185453,1176004,1165679,1155148,1145375,1137004,1130082,1124667,1120662,1117385,1113984,1109696,1103282,1093477,1079846,1062439,1041644,1018325,993715,969360
JOR,109784,112551,115847,119702,124054,128756,133600,138348,142803,146856,150402,153394,155963,158280,160482,162771,165361,168395,171963,176100,180886,186362,192335,198516,204615,210181,214743,218052,220004,220615,220102,218838,217302
KAZ,408734,410179,408047,402036,392160,378520,361488,342249,322165,302376,283990,267877,254510,244376,238064,236368,239889,248192,260459,275836,293156,311132,328544,344319,357693,368318,376351,382491,387237,390580,392197,391631,388704
KEN,939871,958392,973714,986358,997226,1008168,1021428,1038665,1060811,1087949,1119329,1153442,1188105,1221513,1252809,1281850,1309153,1335599,1361604,1386812,1410418,1431398,1448943,1462571,1472217,1477759,1479292,1477823,1474654,1470990,1468429,1468509,1472009
KIR,2417,2470,2520,2564,2602,2631,2649,2657,2654,2644,2628,2611,2595,2583,2579,2584,2599,2624,2656,2696,2742,2795,2853,2914,2974,3032,3085,3131,3169,3198,3219,3231,3237
KWT,56346,55296,53421,50891,47916,44871,42192,40202,39097,38927,39555,40684,41920,42972,43756,44326,44852,45574,46648,48081,49833,51812,53843,55760,57457,58846,59877,60566,60930,60956,60597,59804,58620
KGZ,132219,134692,136454,137409,137498,136674,134949,132498,129533,126224,122667,118911,115075,111368,108057,105473,103923,103561,104481,106743,110507,115896,122636,130277,138330,146078,152770,157930,161273,162696,162326,160540,158008
LAO,160236,165018,169922,174729,179202,183000,185780,187398,187811,187057,185240,182553,179364,176050,172887,170178,168156,166826,166138,166052,166420,167015,167586,167941,168006,167808,167464,167146,166962,166911,166933,166925,166764
LVA,40809,40961,40554,39563,38012,35956,33500,30844,28193,25701,23532,21809,20541,19709,19310,19312,19654,20209,20852,21489,22020,22370,22534,22524,22346,22048,21706,21395,21167,21029,20954,20886,20755
LBN,72916,73291,74258,75760,77703,79927,82224,84361,86133,87409,88077,88091,87563,86625,85363,83801,81938,79887,77843,76048,74889,74765,75850,78179,81679,86193,91460,97024,102423,107313,111355,114309,116188
LSO,59796,59988,60058,60036,59953,59848,59758,59712,59731,59831,60034,60355,60765,61222,61682,62068,62297,62325,62133,61730,61158,60483,59794,59165,58634,58224,57938,57733,57569,57423,57266,57068,56815
LBR,99031,98896,98100,96814,95252,93755,92702,92375,92965,94549,97122,100560,104542,108751,112989,117054,120799,124207,127279,130001,132412,134602,136701,138812,140974,143183,145400,147562,149632,151621,153561,155500,157488
LBY,133948,134248,134070,133336,132066,130324,128233,125999,123818,121824,120104,118693,117566,116726,116231,116193,116728,117848,119497,121583,123994,126598,129205,131615,133657,135132,135883,135918,135292,134061,132338,130285,128094
LTU,56702,57099,57127,56729,55879,54560,52798,50704,48405,45998,43570,41186,38894,36755,34842,33239,32011,31148,30616,30384,30404,30611,30919,31241,31511,31674,31700,31602,31396,31082,30665,30161,29599
LUX,4272,4330,4408,4511,4636,4777,4927,5074,5208,5323,5408,5459,5479,5472,5444,5405,5363,5328,5310,5313,5340,5393,5464,5548,5641,5739,5838,5936,6031,6119,6199,6271,6336
